index,season,metric,value
6,2009-10,AST,651.0
7,2010-11,AST,554.0
8,2011-12,AST,387.0
9,2012-13,AST,551.0
10,2013-14,AST,488.0
11,2014-15,AST,511.0
12,2015-16,AST,514.0
13,2016-17,AST,646.0
14,2017-18,AST,747.0
15,2018-19,AST,454.0
16,2019-20,AST,684.0
17,2020-21,AST,350.0
18,2021-22,AST,137.0
0,2003-04,AST,465.0
1,2004-05,AST,577.0
2,2005-06,AST,521.0
3,2006-07,AST,470.0
4,2007-08,AST,539.0
5,2008-09,AST,587.0
6,2009-10,AST,651.0
7,2010-11,AST,554.0
8,2011-12,AST,387.0
9,2012-13,AST,551.0
10,2013-14,AST,488.0
11,2014-15,AST,511.0
12,2015-16,AST,514.0
13,2016-17,AST,646.0
14,2017-18,AST,747.0
15,2018-19,AST,454.0
16,2019-20,AST,684.0
17,2020-21,AST,350.0
18,2021-22,AST,137.0
0,2003-04,STL,130.0
1,2004-05,STL,177.0
2,2005-06,STL,123.0
3,2006-07,STL,125.0
4,2007-08,STL,138.0
5,2008-09,STL,137.0
6,2009-10,STL,125.0
7,2010-11,STL,124.0
8,2011-12,STL,115.0
9,2012-13,STL,129.0
10,2013-14,STL,121.0
11,2014-15,STL,109.0
12,2015-16,STL,104.0
13,2016-17,STL,92.0
14,2017-18,STL,116.0
15,2018-19,STL,72.0
16,2019-20,STL,78.0
17,2020-21,STL,48.0
18,2021-22,STL,35.0
0,2003-04,STL,130.0
1,2004-05,STL,177.0
2,2005-06,STL,123.0
3,2006-07,STL,125.0
4,2007-08,STL,138.0
5,2008-09,STL,137.0
6,2009-10,STL,125.0
7,2010-11,STL,124.0
8,2011-12,STL,115.0
9,2012-13,STL,129.0
10,2013-14,STL,121.0
11,2014-15,STL,109.0
12,2015-16,STL,104.0
13,2016-17,STL,92.0
14,2017-18,STL,116.0
15,2018-19,STL,72.0
16,2019-20,STL,78.0
17,2020-21,STL,48.0
18,2021-22,STL,35.0
0,2003-04,STL,130.0
1,2004-05,STL,177.0
2,2005-06,STL,123.0
3,2006-07,STL,125.0
4,2007-08,STL,138.0
5,2008-09,STL,137.0
6,2009-10,STL,125.0
7,2010-11,STL,124.0
8,2011-12,STL,115.0
9,2012-13,STL,129.0
10,2013-14,STL,121.0
11,2014-15,STL,109.0
12,2015-16,STL,104.0
13,2016-17,STL,92.0
14,2017-18,STL,116.0
15,2018-19,STL,72.0
16,2019-20,STL,78.0
17,2020-21,STL,48.0
18,2021-22,STL,35.0
0,2003-04,STL,130.0
1,2004-05,STL,177.0
2,2005-06,STL,123.0
3,2006-07,STL,125.0
4,2007-08,STL,138.0
5,2008-09,STL,137.0
6,2009-10,STL,125.0
7,2010-11,STL,124.0
8,2011-12,STL,115.0
9,2012-13,STL,129.0
10,2013-14,STL,121.0
11,2014-15,STL,109.0
12,2015-16,STL,104.0
13,2016-17,STL,92.0
14,2017-18,STL,116.0
15,2018-19,STL,72.0
16,2019-20,STL,78.0
17,2020-21,STL,48.0
18,2021-22,STL,35.0
0,2003-04,STL,130.0
1,2004-05,STL,177.0
2,2005-06,STL,123.0
3,2006-07,STL,125.0
4,2007-08,STL,138.0
5,2008-09,STL,137.0
6,2009-10,STL,125.0
7,2010-11,STL,124.0
8,2011-12,STL,115.0
9,2012-13,STL,129.0
10,2013-14,STL,121.0
11,2014-15,STL,109.0
12,2015-16,STL,104.0
13,2016-17,STL,92.0
14,2017-18,STL,116.0
15,2018-19,STL,72.0
16,2019-20,STL,78.0
17,2020-21,STL,48.0
18,2021-22,STL,35.0
0,2003-04,BLK,58.0
1,2004-05,BLK,52.0
2,2005-06,BLK,66.0
3,2006-07,BLK,55.0
4,2007-08,BLK,81.0
5,2008-09,BLK,93.0
6,2009-10,BLK,77.0
7,2010-11,BLK,50.0
8,2011-12,BLK,50.0
9,2012-13,BLK,67.0
10,2013-14,BLK,26.0
11,2014-15,BLK,49.0
12,2015-16,BLK,49.0
13,2016-17,BLK,44.0
14,2017-18,BLK,71.0
15,2018-19,BLK,33.0
16,2019-20,BLK,36.0
17,2020-21,BLK,25.0
18,2021-22,BLK,21.0
0,2003-04,BLK,58.0
1,2004-05,BLK,52.0
2,2005-06,BLK,66.0
3,2006-07,BLK,55.0
4,2007-08,BLK,81.0
5,2008-09,BLK,93.0
